titulo,tipo,artista,fecha-lanzamiento,generos
Fuego de cumbia,Album,Los Malandros,1998,"latin, cumbia"
Navidad de puerta en puerta,Album,Los Xochimilcas,1969,"latin, cumbia"
Cumbia Cumbia 1 & 2,Album,Various Artists,2012-04-16,"latin, cumbia"
Las flores del sol,Album,Nilamayé,2016-11-11,"latin, cumbia"
Sigue siendo el maestro,Album,Antonio Ríos,1997,"latin, cumbia"
De todo corazón,Album,Organización X,1998,"latin, cumbia"
Fiesta en la selva,Album,Los Wembler’s de Iquitos,1977,"latin, cumbia"
Lucho Bermúdez y Su Orquesta,EP,Lucho Bermúdez y su Orquesta,2011-02-28,"latin, cumbia"
La colegiala,Single,Rodolfo,1982,"latin, cumbia"
Borrachito,Album,Organización X,1996,"latin, cumbia"
Entre el cielo y la tierra,Album,Gilda,1997,"latin, cumbia"
El destape,Album,Grupo 2000,2011,"latin, cumbia"
La lata,Album,Super Mer Ka 2,2003,"latin, cumbia"
Lamento Calavera,Single,Meridian Brothers,2014,"latin, cumbia"
Los auténticos,Album,Los Shapis,1982,"latin, cumbia"
Grandes éxitos de...,Album,Juaneco y su Combo,1982,"latin, cumbia"
La manita de fauna,Album,Faauna,2008-11-07,"cumbia, moombahton"
Manshines,Album,Faauna,2011-03-03,"cumbia, moombahton"
All plato,EP,Faauna,2013-10-15,"cumbia, moombahton"
Indifirentes a todo,Album,Eh!!! Guacho,2005,"latin, cumbia"
Festival de cumbias,Album,Los Continentales,,"latin, cumbia"
Organo Colombiano,Album,Alejandro Bernal,1979,"latin, cumbia"
"Masters of Chicha, Vol. 1",Album,Juaneco y su Combo,2008,"latin, cumbia"
Cumbias tabaco y ron,Album,Various Artists,1979,"latin, cumbia"
Poco a poco,Single,Los Continentales,1983,"latin, cumbia"
Indifirentes a todo,Album,Eh!!! Guacho,2005,"latin, cumbia"
Por Borracho,Album,Orquesta Hermanos Flores,1973,"latin, cumbia"
Cumbia Reina / Rosa Mar,Single,Orquesta De Los Hnos. Flores,1981,"latin, cumbia"
Olvidame Si Puedes / Es Tarde Ya,Single,Orquesta Hermanos Flores,1970,"latin, cumbia"
Canta mi pueblo,Album,Orquesta Hermanos Flores,,"latin, cumbia"
Prende la vela / Cumbia de las Cubas,Single,Mariachi Palomar,,"latin, cumbia"
Toda La Música!,Album,Los Caribes,1983,"latin, cumbia"
"La Danza del Agua, Part 2",Album,Various Artists,2017-10-13,"folk, cumbia"
El más buscado,Album,Organización X,2002,"latin, cumbia"
Ayo,Album,Bomba Estéreo,2017-08-11,"latin, cumbia"
Orquesta Hermanos Flores,Album,Orquesta Hermanos Flores,1983,"latin, cumbia"
Mi Indecision,Single,Tropical Barrio Pobre,1980,"latin, cumbia"
Visit Malphino,Album,Malphino,2018-05-04,"latin, cumbia"
Los reyes de la cumbia,Album,Grupo Néctar,1997,"latin, cumbia"
Éxitos,Album,Los Destellos,,"latin, cumbia"
El Estilo Elegante Del Poderoso...,Album,Grupo Naranja,1977,"latin, cumbia"
Jambú e Os Míticos Sons Da Amazônia,Album,Various Artists,2019-06-21,"latin, cumbia"
Amor Entre Mujeres,Album,Dalila,2001,"latin, cumbia"
20 super éxitos,Album,Organización X,2001,"latin, cumbia"
Hasta la eternidad,Album,Grupo Green,1999,"latin, cumbia"
Sólo tú,Album,La Gran Magia Tropical,1999,"latin, cumbia"
The Garabato Sessions (Remixes),EP,Totó la Momposina,2016-12-02,"cumbia, porro"
Fuego,EP,Totó la Momposina,2018-09-07,"cumbia, porro"
Oye Manita,Album,Totó la Momposina,2018-09-11,"cumbia, porro"
Destino,Album,Joe Vasconcellos,2007,"latin, cumbia"
Bailalo Duro,Album,Nkumba System,2020-11-13,"latin, cumbia"
Le Petit Cumbiero de San Sebastián,Album,Lascivio Bohemia,2019-10-31,"electronic, cumbia"
A orillas del Magdalena: Coastal Cumbias From Colombia's Discos Fuentes,Album,Various Artists,2009,"latin, cumbia"
El Bombero / El gato Melquiades,Single,Los Bárbaros del Centro,,"latin, cumbia"
Historia natural,Album,Los Pirañas,2019-10-11,"latin, cumbia"
Curandero,Album,Orkesta Mendoza,2020-04-10,"mariachi, cumbia"
Si yo muero / Triste y alegre,Single,Pastor López y su Combo,1984,"latin, cumbia"
Cumbia sampuesana / Con mi ritmo - ¡Si se puede!,Single,Manuel Gonzalez Su Organo y Ritmos,1985,"latin, cumbia"
Sol milena / Noche de estrellas,Single,Orquesta Tropicolombiana,1987,"latin, cumbia"
Solitos los dos / Luz de cumbia,Single,Aníbal Velásquez,1986,"latin, cumbia"
El negro Sebastian / El carpintero del pueblo,Single,Sonora Sangre Negra,1982,"latin, cumbia"
Oro verde / El llamador,Single,Estrellas de Urabá,1982,"latin, cumbia"
El papasito / Linda mariposa,Single,Grupo Rosado,1974,"latin, cumbia"
El Faraon de la Chicha Vol.1,Album,Chacalón y la Nueva Crema,2005-06,"latin, cumbia"
El Soberano De La Cumbia,Album,Chacalón y la Nueva Crema,1982,"latin, cumbia"
Recuerdos Inolvidables Vol.2,Album,Chacalón y la Nueva Crema,2007,"latin, cumbia"
"Vol. 5 Tu Vida, Mi Vida",Album,Chacalón y la Nueva Crema,1985,"latin, cumbia"
Minyo Cumbiero,EP,Minyo Crusaders,2020-07-31,"latin, cumbia"
El Maestro,Album,Antonio Ríos,1996-04-04,"latin, cumbia"
"Si tenés, mandale mecha",Album,Mala Fama,2010,"latin, cumbia"
Unconvention / Ika,Single,Frente Cumbiero,2012-07-20,"latin, cumbia"
El nuevo tropical,Album,Alegria,1997,"latin, cumbia"
El Lava de Gabacho,EP,Malphino,2013-06-03,"latin, cumbia"
Funky Rob Way,Album,Rob,2019-03-12,"afrobeat, cumbia"
Rebita - 1st Long Play recorded and pressed in Angola - 1973 (Limited Dance Edition),Album,Various Artists,2013-10-29,"afrobeat, cumbia"
Mi cafetal,Album,Marimba Hermanos Paniagua,1965,"latin, cumbia"
Más borrachitos que nunca,Album,Organización X,1997,"latin, cumbia"
Poco a poco,Single,Los Continentales,1983,"latin, cumbia"
Y se va la vida,Single,Los Continentales,,"latin, cumbia"
Cumbia amazónica,Album,Los Mirlos,1978,"latin, cumbia"
Organo Colombiano,Album,Alejandro Bernal,1979,"latin, cumbia"
El destape,Album,Grupo 2000,2011,"latin, cumbia"
Navidad de puerta en puerta,Album,Los Xochimilcas,1969,"latin, cumbia"
Sigue siendo el maestro,Album,Antonio Ríos,1997,"latin, cumbia"
Odisea cumbia 3000,Album,Los Chapillacs,2010,"latin, cumbia"
Pitchito,EP,Frente Cumbiero,2010-12-07,"latin, cumbia"
Matamoros querido,Album,Costa Azul,1972,"latin, cumbia"
Festival de cumbias,Album,Los Continentales,,"latin, cumbia"
Entre el cielo y la tierra,Album,Gilda,1997,"latin, cumbia"
Los auténticos,Album,Los Shapis,1982,"latin, cumbia"
The Imaginary Soundtrack to a Brazilian Western Movie 1964 - 1974,Album,Camarão,2018-02-20,"afrobeat, cumbia"
Colombia 45,Album,Various Artists,2011-02-28,"latin, cumbia"
"Corazón Serrano, Vol. 1",Album,Corazón Serrano,2014,cumbia sanjuanera
Cumbias solamente cumbias,Album,Various Artists,,"latin, cumbia"
Cumbias de Colombia,Album,Various Artists,1968,"latin, cumbia"
Los éxitos,Album,Lucho Bermúdez y su Orquesta,1971-11-04,"latin, cumbia"
Cumbias y gaitas famosas de Colombia,Album,Various Artists,1973,"latin, cumbia"
