cancion,artista,tipo,lanzamiento,fecha-lanzamiento
Tres Besitos,Los Diferentes,Album,Esperado,2003
Nunca Dejaré De Quererte,Los Diferentes,Album,Esperado,2003
Carola **,Los Diferentes,Album,Esperado,2003
Piedra y Diamante,Los Diferentes,Album,Esperado,2003
Felicidad,Los Diferentes,Album,Esperado,2003
Cómo pude amarla,Mario Luis,Album,Solo,2007
Tú o ninguna,Mario Luis,Album,Solo,2007
Loquito por ti,Mario Luis,Album,Solo,2007
Voy a olvidarme de mí,Mario Luis,Album,Solo,2007
Mi loretana,Mario Luis,Album,Solo,2007
No quiero perderte,Mario Luis,Album,Solo,2007
Tú vas a volar,Mario Luis,Album,Solo,2007
Llorarás,Mario Luis,Album,Solo,2007
Bonita y mentirosa,Mario Luis,Album,Solo,2007
Entre dos amores,Mario Luis,Album,Solo,2007
"Mala, mala",Mario Luis,Album,Solo,2007
El precio de tu engaño,Mario Luis,Album,Solo,2007
Vuela mariposa,Mario Luis,Album,Solo,2007
Vanidosa,Mario Luis,Album,Solo,2007
Corazón no sufras más,Mario Luis,Album,Solo,2007
Te sorprenderás,Mario Luis,Album,Solo,2007
Que vuelva,Mario Luis,Album,Solo,2007
Hoja en blanco,Mario Luis,Album,Solo,2007
Explícale,Mario Luis,Album,Solo,2007
Entrégate,Mario Luis,Album,Solo,2007
Felicidad,Mario Luis,Album,Solo,2007
Movimiento de caderas,Mario Luis,Album,Solo,2007
Agua de vida,Mario Luis,Album,Solo,2007
Te sorprenderás,Mario Luis,Album,Solo,2007
Sonido Amazonico,Chicha Libre,Album,¡Sonido Amazonico!,2008
Primavera en la selva,Chicha Libre,Album,¡Sonido Amazonico!,2008
Mi plato de barro,Chicha Libre,Album,¡Sonido Amazonico!,2008
Tres pasajeros,Chicha Libre,Album,¡Sonido Amazonico!,2008
The Hungry Song,Chicha Libre,Album,¡Sonido Amazonico!,2008
El borrachito,Chicha Libre,Album,¡Sonido Amazonico!,2008
Pavane,Chicha Libre,Album,¡Sonido Amazonico!,2008
Six pieds sous terre,Chicha Libre,Album,¡Sonido Amazonico!,2008
Un shipibo en España,Chicha Libre,Album,¡Sonido Amazonico!,2008
Indian Summer,Chicha Libre,Album,¡Sonido Amazonico!,2008
La cumbia del zapatero,Chicha Libre,Album,¡Sonido Amazonico!,2008
Popcorn andino,Chicha Libre,Album,¡Sonido Amazonico!,2008
Yo no fui,Chicha Libre,Album,¡Sonido Amazonico!,2008
Gnosienne no. 1,Chicha Libre,Album,¡Sonido Amazonico!,2008
Constelación,Various Artists,Album,The Roots of Chicha 2: Psychedelic Cumbias from Peru,2010
El Diablo,Various Artists,Album,The Roots of Chicha 2: Psychedelic Cumbias from Peru,2010
Silbando,Various Artists,Album,The Roots of Chicha 2: Psychedelic Cumbias from Peru,2010
Colegiala,Various Artists,Album,The Roots of Chicha 2: Psychedelic Cumbias from Peru,2010
La pastorcita,Various Artists,Album,The Roots of Chicha 2: Psychedelic Cumbias from Peru,2010
Lamento del yacuruna,Various Artists,Album,The Roots of Chicha 2: Psychedelic Cumbias from Peru,2010
Como un ave,Various Artists,Album,The Roots of Chicha 2: Psychedelic Cumbias from Peru,2010
El hueleguiso,Various Artists,Album,The Roots of Chicha 2: Psychedelic Cumbias from Peru,2010
A trabajar,Various Artists,Album,The Roots of Chicha 2: Psychedelic Cumbias from Peru,2010
Cumbia del desierto,Various Artists,Album,The Roots of Chicha 2: Psychedelic Cumbias from Peru,2010
Mala mujer,Various Artists,Album,The Roots of Chicha 2: Psychedelic Cumbias from Peru,2010
Agua,Various Artists,Album,The Roots of Chicha 2: Psychedelic Cumbias from Peru,2010
El aguajal,Various Artists,Album,The Roots of Chicha 2: Psychedelic Cumbias from Peru,2010
Paga la cuenta sinvergüenza,Various Artists,Album,The Roots of Chicha 2: Psychedelic Cumbias from Peru,2010
Siboney,Various Artists,Album,The Roots of Chicha 2: Psychedelic Cumbias from Peru,2010
La danza del petrolero,Various Artists,Album,The Roots of Chicha 2: Psychedelic Cumbias from Peru,2010
Viernes cultural,Los Ángeles Azules,Album,Viernes cultural,2014
La cadenita,Los Ángeles Azules,Album,Viernes cultural,2014
Paso la vida pensando,Los Ángeles Azules,Album,Viernes cultural,2014
Toma que toma,Los Ángeles Azules,Album,Viernes cultural,2014
Amigos nada más,Los Ángeles Azules,Album,Viernes cultural,2014
Ella usó mi cabeza como un revólver,Los Ángeles Azules,Album,Viernes cultural,2014
Canchis canchis,Los Ángeles Azules,Album,Viernes cultural,2014
20 rosas,Los Ángeles Azules,Album,Viernes cultural,2014
Kumbia en la playa,Los Ángeles Azules,Album,Viernes cultural,2014
Sólo llamé para decirte que te amo,Los Ángeles Azules,Album,Viernes cultural,2014
Cumbia popular,Los Ángeles Azules,Album,Viernes cultural,2014
Mi niña mujer,Los Ángeles Azules,Album,Viernes cultural,2014
La vecina,Los Ángeles Azules,Album,Viernes cultural,2014
Paso la vida pensando (club remix),Los Ángeles Azules,Album,Viernes cultural,2014
Paso la vida pensando (Electric mix Mstr 3.7),Los Ángeles Azules,Album,Viernes cultural,2014
La cadenita (club remix),Los Ángeles Azules,Album,Viernes cultural,2014
Intro,Rebeca Lane,Album,Canto,2014
Desnuda madrugada,Rebeca Lane,Album,Canto,2014
Adicta a la poesía,Rebeca Lane,Album,Canto,2014
Mujer lunar,Rebeca Lane,Album,Canto,2014
Políticamente incorrecta,Rebeca Lane,Album,Canto,2014
Bandera negra,Rebeca Lane,Album,Canto,2014
Natura,Rebeca Lane,Album,Canto,2014
Tu cintura sin censura,Rebeca Lane,Album,Canto,2014
La millonaria/Año nuevo,Orquesta Cumbia Grande,Album,En vivo en el Teatro Colón,2014
La gaita,Orquesta Cumbia Grande,Album,En vivo en el Teatro Colón,2014
El tablón,Orquesta Cumbia Grande,Album,En vivo en el Teatro Colón,2014
Cumbia del Monte,Orquesta Cumbia Grande,Album,En vivo en el Teatro Colón,2014
"Norma, la de Guadalajara",Orquesta Cumbia Grande,Album,En vivo en el Teatro Colón,2014
Mambo de la telefonista,Orquesta Cumbia Grande,Album,En vivo en el Teatro Colón,2014
Cómo fue,Orquesta Cumbia Grande,Album,En vivo en el Teatro Colón,2014
He perdido contigo,Orquesta Cumbia Grande,Album,En vivo en el Teatro Colón,2014
Lunarena,Orquesta Cumbia Grande,Album,En vivo en el Teatro Colón,2014
Concierto de perros,Orquesta Cumbia Grande,Album,En vivo en el Teatro Colón,2014
Boquita Sala,Orquesta Cumbia Grande,Album,En vivo en el Teatro Colón,2014
Tolú,Orquesta Cumbia Grande,Album,En vivo en el Teatro Colón,2014
Yolanda,Orquesta Cumbia Grande,Album,En vivo en el Teatro Colón,2014
Comprende pasajero (El Búho remix),El Búho,Album,Cumbias de oro,2015
Cumbia estéreo (El Búho remix),El Búho,Album,Cumbias de oro,2015
Cumbia yemaya (El Búho remix),El Búho,Album,Cumbias de oro,2015
Cumbia sobre el mar (Dem-Buho edit),El Búho,Album,Cumbias de oro,2015
La subienda (El Búho remix),El Búho,Album,Cumbias de oro,2015
Pajaro cenzotle (El búho retweet),El Búho,Album,Cumbias de oro,2015
Nuestra pobreza (El Búho remix),El Búho,Album,Cumbias de oro,2015
Yolanda (El Búho remix),El Búho,Album,Cumbias de oro,2015
Leyda (El Búho remix),El Búho,Album,Cumbias de oro,2015
El cafetero (El Búho remix),El Búho,Album,Cumbias de oro,2015
Mi negra (El Búho dub),El Búho,Album,Cumbias de oro,2015
La arpita mágica (El Búho remix),El Búho,Album,Cumbias de oro,2015
Negra palenquera (El Búho dub),El Búho,Album,Cumbias de oro,2015
Cumbia del amor (El Búho remix),El Búho,Album,Cumbias de oro,2015
El brujito Ramón,Rolando Bruno,Album,Bailazo,2015
Eclipse boliviano,Rolando Bruno,Album,Bailazo,2015
Fiesta trashera,Rolando Bruno,Album,Bailazo,2015
Thai cumbia,Rolando Bruno,Album,Bailazo,2015
Supermercado chino,Rolando Bruno,Album,Bailazo,2015
Deportación,Rolando Bruno,Album,Bailazo,2015
Tortuguita marina,Rolando Bruno,Album,Bailazo,2015
Mi cholita,Rolando Bruno,Album,Bailazo,2015
Falafel King,Rolando Bruno,Album,Bailazo,2015
Viento,Rolando Bruno,Album,Bailazo,2015
Soy de Sagitario,Rolando Bruno,Album,Bailazo,2015
Alma mestiza,Rebeca Lane,Album,Alma mestiza,2016
Reina del caos,Rebeca Lane,Album,Alma mestiza,2016
Ciudad de color,Rebeca Lane,Album,Alma mestiza,2016
Este cuerpo es mío,Rebeca Lane,Album,Alma mestiza,2016
Ni encerradas ni con miedos,Rebeca Lane,Album,Alma mestiza,2016
Conflicto,Rebeca Lane,Album,Alma mestiza,2016
Silencio,Rebeca Lane,Album,Alma mestiza,2016
Somos todo,Rebeca Lane,Album,Alma mestiza,2016
Desaparecidxs,Rebeca Lane,Album,Alma mestiza,2016
Cumbia de la memoria,Rebeca Lane,Album,Alma mestiza,2016
Mano arriba,Rebeca Lane,Album,Alma mestiza,2016
"Libre, atrevida y loca",Rebeca Lane,Album,Alma mestiza,2016
Pachamama,Rebeca Lane,Album,Alma mestiza,2016
Volar,Rebeca Lane,Album,Alma mestiza,2016
Alien Flutes,Bigote,Album,Perreo Maluco,2016
Deutch Dembow,Bigote,Album,Perreo Maluco,2016
Mordotek,Bigote,Album,Perreo Maluco,2016
Xiloton,Bigote,Album,Perreo Maluco,2016
Pupi Dembow (Grita & Bigote),Bigote,Album,Perreo Maluco,2016
Job 1; 6-7,Bigote,Album,Perreo Maluco,2016
Mizuchu (Bigote remix),Bigote,Album,Perreo Maluco,2016
Slow Hum III (Bigote remix),Bigote,Album,Perreo Maluco,2016
Talisman VIP (Bigote remix),Bigote,Album,Perreo Maluco,2016
King Doudou Vs MC Bin Laden (Bigote video bootleg),Bigote,Album,Perreo Maluco,2016
Lundi Matin,Balkumbia,Album,Balkumbia,2016
Balkumbia en Do Menor,Balkumbia,Album,Balkumbia,2016
Irgi Skauda,Balkumbia,Album,Balkumbia,2016
Mome Kalino,Balkumbia,Album,Balkumbia,2016
Reggae,Balkumbia,Album,Balkumbia,2016
La Verdolaga,Balkumbia,Album,Balkumbia,2016
Dumbala Dumba,Balkumbia,Album,Balkumbia,2016
Agua,M.A.K.U. Soundsystem,Album,Mezcla,2016
Thank You Thank You,M.A.K.U. Soundsystem,Album,Mezcla,2016
Let It Go,M.A.K.U. Soundsystem,Album,Mezcla,2016
Positivo,M.A.K.U. Soundsystem,Album,Mezcla,2016
La inevitable,M.A.K.U. Soundsystem,Album,Mezcla,2016
La Haitiana,M.A.K.U. Soundsystem,Album,Mezcla,2016
What Do You Wish For,M.A.K.U. Soundsystem,Album,Mezcla,2016
