titulo,tipo,artista,fecha-lanzamiento,generos,id
Carajo Colombia,Album,DJ Orion,2010,"breakbeat, salsa, latin, cumbia, baltimore club",b7942de9-6ebc-4403-b6ca-f70d28dbeb68
Boombahchero Vol.1,Album,DJ Orion,2010,"salsa, latin, cumbia, baltimore club",9896c9c8-7395-47cb-8f76-c32541218129
Chico de oro,Album,Chico Trujillo,2010,"latin, cumbia",e75c8f7e-d9af-4e92-8a2a-a694ede31e1d
La caravana mágica,Album,Gustavo Cordera,2010,"cumbia, caravana, cordera, gustavo",b15f3796-6417-4815-a565-62413286e1c9
"Si tenés, mandale mecha",Album,Mala Fama,2010,"latin, cumbia",82567383-a421-4a98-a7c1-54cb6f6f1f61
0110010101110000,EP,The Binary Cumbia Orchestra,2010,"electro, latin, cumbia",a10b9f8e-dbac-4ebd-a8be-3578ca631faf
Cumbia XXX,EP,Munchi,2010,"electronic, house, latin, cumbia",
Odisea cumbia 3000,Album,Los Chapillacs,2010,"latin, cumbia",055ad0cb-f659-4c95-a50d-23227f314ce7
Pitchito,EP,Frente Cumbiero,2010,"latin, cumbia",81a7821f-d9bd-4fea-9471-aa2c4ebdfc68
Actitud calle,Album,Los de Abajo,2010,"rock, ska, hip hop, latin, cumbia",a76b50ef-3389-4a39-af61-addb44b90266
The Lost Cuban Trios of Casa Marina,Album,Various Artists,2010,"latin, cumbia, bolero, ranchera",f26340a1-8073-4d64-94ec-a7938f9fc528
Afro-Beat Airways: West African Shock Waves - Ghana & Togo 1972-1978,Album,Various Artists,2010,"afrobeat, cumbia",5d0c6a62-ccf2-43e1-8623-72dc288cdfa4
New York Tropical,Album,Various Artists,2010,"electronic, house, latin, cumbia",d2395280-86ad-4669-86c0-de9704a89448
Escape Room,Album,Very Be Careful,2010,"latin, cumbia, vallenato",b9fa6715-6f77-4e27-ad03-3c30ea404b8c
In Limbo,Album,Rafiralfiro,2010,"electronic, ambient, folk, trip hop, cumbia",18dea921-363d-4dad-88fd-a623af020826
Dog With a Rope,Album,Quantic,2010,"electronic, latin, cumbia",be41ab27-9dc4-4713-8e88-b7d5dd70c529
Putumayo Presents: Latin Party,Album,Various Artists,2010,"salsa, latin, cumbia",e0ee9cb9-54bd-4559-b5e7-70119b4f83e1
Hip Hop En Cumbia EP,EP,Quantic,2011,"hip hop, latin, cumbia",b39b90a7-a45d-41b7-b067-befff2f88ec2
Te metiste en mi corazón,Album,Antonio Ríos,2011,"latin, cumbia",048b1f90-2f04-4141-9c8f-0147269e1304
100% Cumbia,Album,Amar Azul,2011,"latin, cumbia",76be4308-ddaf-43c6-91e0-7778cdfd7db1
Aquí Los Bravos! The Best of Michi Sarmiento y su Combo Bravo 1967-77,Album,Michi Sarmiento y su Combo Bravo,2011,"latin, cumbia, descarga, guaguancó",c311a735-1554-42ec-ab6f-1877e37bdc3a
¡Gózalo! Bugalú Tropical Vol.4,Album,Various Artists,2011,"salsa, latin, cumbia, mambo",3d31f9d3-cf44-4da8-869d-81b2617ef3b0
K le pasa (remix),Single,El Dusty,2011,"electronic, latin, electro house, cumbia",7965e922-9ee2-4ad2-b97e-f8f8ec8ca6e6
Lucho Bermúdez y Su Orquesta,EP,Lucho Bermúdez y su Orquesta,2011,"latin, cumbia",f4ef3db7-3c38-429a-843a-0f1b4d84ee54
Makumbala,Album,M.A.K.U. Soundsystem,2011,"punk, psychedelic, afrobeat, cumbia",a479a3cb-d9a1-49d8-a69f-2a9c00cd5d12
Revolución EP,EP,Copia Doble Systema,2011,"electronic, house, latin, dancehall, cumbia",b5a53736-2915-4588-b67c-1e5f537ab2dc
Afritanga: The Sound of Afrocolombia,Album,Various Artists,2011,"salsa, zouk, latin, cumbia",f17d09b7-68fe-46d7-9c97-cf52ae72b228
Chambacu Remixes,EP,Schlachthofbronx,2011,"electronic, electro, latin, cumbia",88a825c6-b7c1-40cb-b358-c09cd5e5bc1c
Where the Bad Ones Go,Album,Gabriel Sullivan,2011,"rock, lo-fi, cumbia",61859c17-6f0b-4aae-8367-fcdb88e785de
Colombia 45,Album,Various Artists,2011,"latin, cumbia",b839af5f-b588-4455-ba9d-832a2f0d5c72
Esquivando el éxito,Album,Damas Gratis,2011,"latin, cumbia villera",741fdbbb-c4dd-456a-9ebe-d70128435152
Hasta agotar stock!,Album,Tio Gasheta,2011,"ska, swing, cumbia, milonga",5d8b82c0-e66d-4dd4-911d-61fb51621ce1
Frente Cumbiero Meets Mad Professor,Album,Frente Cumbiero,2011,"latin, cumbia",43d72609-8014-405e-b20e-a3f679f937a8
K le pasa,Single,El Dusty,2011,"electronic, latin, electro house, cumbia",ac5ea3d1-237c-4387-af84-f1b3b41a14ad
The Original Sound of Cumbia: The History of Colombian Cumbia & Porro as Told by the Phonograph 1948-79,Album,Various Artists,2011,"latin, cumbia, porro, cumbia colombiana",7da6b390-8545-4893-90be-73d802fe1d5b
